date,open,high,low,close
2021-07-02,249.4989852397784,250.5152800703307,246.49631262847308,248.80606079101562
2021-07-05,250.79243966089996,250.79243966089996,247.39709331183593,247.7666473388672
2021-07-06,247.85905410695003,248.66746591303607,245.68788533157138,246.0343475341797
2021-07-07,246.7042102639755,247.78980888198936,242.5697551682766,245.82652282714844
2021-07-08,246.63490745335776,248.04384812137565,243.90939348296257,245.2952423095703
2021-07-09,243.63221790447807,245.27213326188763,241.71511588409217,242.89308166503906
2021-07-12,245.1797323663117,245.826473037336,241.69201877903143,242.91616821289062
2021-07-13,243.90939142533057,244.6023158327889,241.41485228041407,242.45423889160156
2021-07-14,243.1009632650298,260.2161893390028,242.80068476392884,259.4770812988281
2021-07-15,259.15371368016224,267.76908460196256,258.2298145226572,266.0367736816406
2021-07-16,267.9308052013468,272.20383959464414,262.5259884918719,266.89141845703125
2021-07-19,264.48924389498586,269.778572575089,263.31127802705606,265.0666809082031
2021-07-20,265.94436627398744,267.0761483305217,259.40776874790294,262.43353271484375
2021-07-22,266.59108233776385,270.2404951745974,263.77320127298316,269.8709411621094
2021-07-23,270.93345607088656,278.0012797206588,269.64000275510597,276.7771301269531
2021-07-26,277.2159449364329,277.4007360553355,271.7418534297271,272.7581481933594
2021-07-27,272.042126948792,274.6983371119889,269.8478663791945,273.2200927734375
2021-07-28,272.98913070712376,274.0977928663641,269.3166256277125,273.4510803222656
2021-07-29,274.2132725228447,276.24586205010934,271.5801823470619,272.7581481933594
2021-07-30,272.0190259387715,273.9361281643632,270.2405311570868,271.2337341308594
2021-08-02,271.71883095265594,275.04487457580836,268.9702244795239,273.5897216796875
2021-08-03,279.01756557918736,279.01756557918736,274.46737318017625,276.8926086425781
2021-08-04,278.78656556150554,279.0175403465607,274.5366238774589,275.6914978027344
2021-08-05,276.01490076937404,283.8680443895906,276.01490076937404,277.5855407714844
2021-08-06,278.90209051278924,280.1262683165026,275.4605601129767,276.2458801269531
2021-08-09,277.16974206611985,279.94143948678106,275.09096900062394,275.6914978027344
2021-08-10,276.4306395363993,281.3042019590733,273.9822842099313,278.9482421875
2021-08-11,278.04747089588716,280.1724277424961,276.4537391633477,277.7471923828125
2021-08-12,278.0936974562186,281.28116141277144,277.470076688496,279.8721923828125
2021-08-13,279.9414652523038,286.6166427938054,279.9414652523038,284.3299865722656
2021-08-16,284.60714732438163,286.8245280387554,282.0202407511683,283.66015625
2021-08-17,283.52159337273014,294.28501441489334,282.3436274221908,293.2918395996094
2021-08-18,293.6844365812362,295.27816822295125,288.53368764232783,290.7510681152344
2021-08-20,287.5636670863644,291.9290970691191,285.4848935893545,286.431884765625
2021-08-23,289.1804641292631,294.23881814244265,288.02559007123887,290.49700927734375
2021-08-24,293.79996460529264,293.79996460529264,288.30275273162334,292.6681823730469
2021-08-25,293.3380168179316,296.9412183146143,290.8203856802244,291.7904968261719
2021-08-26,292.0445184480696,294.95479504677326,289.18042552745504,290.5431823730469
2021-08-27,290.79731012751006,293.7999829088108,288.8571159220972,293.31494140625
2021-08-30,293.77688848840137,295.4168041232338,291.2823490754385,292.1600646972656
