date,open,high,low,close
2021-07-02,122.06760325950343,124.30179007333106,121.97789880918043,124.15657806396484
2021-07-06,124.54414234830024,125.31679397061296,123.48750981436791,125.08088684082031
2021-07-07,126.04434512220173,126.16526690597024,125.04421080406834,125.36238861083984
2021-07-08,122.93590362834043,124.49160506602671,122.93194096335237,123.94495391845703
2021-07-09,123.92611335864795,124.62937290029038,123.45677202918988,124.41527557373047
2021-07-12,125.06899063825736,125.95265737591463,124.50697281548125,125.85948181152344
2021-07-13,125.92191366993266,126.93195455191068,125.5611145618093,126.22225189208984
2021-07-14,126.83334666215922,128.18982590812473,126.79022621114098,127.10989379882812
2021-07-15,127.51826516357463,127.56881182649684,125.41788646020213,125.88871002197266
2021-07-16,126.54093661242045,126.68812995291671,125.04470541650979,125.8540267944336
2021-07-19,124.98125995365034,125.09574617911319,122.41947279512615,123.48304748535156
2021-07-20,124.42419961251387,125.92638235763302,123.25755022531956,125.10021209716797
2021-07-21,125.02487717060785,126.474524368803,124.91584338583961,126.42794036865234
2021-07-22,126.72033913018305,127.35372269021474,126.37837023776311,127.29275512695312
2021-07-23,129.28411407867398,132.2265290912767,128.65966157114187,131.8459014892578
2021-07-26,132.1566611755268,133.0571693287337,131.1386796548472,132.85694885253906
2021-07-27,133.07051150862503,133.2177048189699,128.9604574478291,130.74066162109375
2021-07-28,135.11389810308486,137.08145178263484,134.0884905988958,134.89781188964844
2021-07-29,134.95334530972397,135.45985560501686,134.35168567382115,134.58412170410156
2021-07-30,133.84813380324206,134.11526579950234,133.07499070592388,133.54234313964844
2021-08-02,133.92944031056783,134.14700879243682,132.6180702965275,133.66925048828125
2021-08-03,133.94726760946617,134.53902058511594,132.1477335764231,134.43792724609375
2021-08-04,134.15986590683238,134.45723212121203,133.30494371224364,133.93783569335938
2021-08-05,134.48795935776522,135.15158472085915,133.66079088435984,135.05393981933594
2021-08-06,134.84628556646607,135.27299799701225,134.02159758617466,134.54544067382812
2021-08-09,134.7476505132301,135.97823930808275,134.1499385485314,135.70960998535156
2021-08-10,136.1348853460406,136.56161302051484,135.16598332737982,135.60459899902344
2021-08-11,135.97575592511646,136.47234431331293,135.07375067749174,135.08119201660156
2021-08-12,134.7803631501877,136.0932302954075,134.23520937229634,135.9881591796875
2021-08-13,136.04368651541876,136.6448621761121,135.82859848405317,136.51698303222656
