date,open,high,low,close
2021-07-02,741.9357326145338,743.1628412602923,733.44028529452,738.726318359375
2021-07-05,741.935695656625,749.015234737318,740.5197878404864,747.3633422851562
2021-07-06,746.2777707902237,750.4311233231725,735.0449369714347,738.0655517578125
2021-07-07,734.1953976683025,738.0655803177265,725.4639660213281,735.2337646484375
2021-07-08,734.337006863179,743.4459793071816,727.7766224147041,732.7322998046875
2021-07-09,728.7206213079188,732.4963758224676,724.0009281647328,728.2958374023438
2021-07-12,732.4963789570581,737.2160721204413,725.4168392119834,729.52294921875
2021-07-13,734.2898655424082,738.3487900304377,730.2781264620477,737.357666015625
2021-07-14,736.2720862788562,742.8796562839229,733.4874559683191,742.0773315429688
2021-07-15,745.5138022874214,748.3297751648327,739.9773478024575,744.4638061523438
2021-07-16,748.3774627642885,748.3774627642885,741.2182395873341,744.3682861328125
2021-07-19,740.550048828125,745.227431370262,735.0135944444318,740.550048828125
2021-07-20,739.7863344037635,740.4545401646377,718.1654588741699,725.6588134765625
2021-07-22,729.477202707427,732.2454010060492,721.3156990712457,723.9884643554688
2021-07-23,724.0361512294926,732.9612934013211,723.7975104413483,729.4771728515625
2021-07-26,728.3316269166743,729.3816229954089,718.3087146196558,720.0269165039062
2021-07-27,721.6496335557385,725.467885585134,708.9062407123922,711.6744384765625
2021-07-28,716.590600193939,716.590600193939,691.7242406840631,695.5902099609375
2021-07-29,696.831020862099,705.2788804814872,693.1082016924574,698.2151489257812
2021-07-30,701.7948019061403,725.4679551045384,698.5969805679426,709.3358154296875
2021-08-02,715.9223739477437,724.5611589409974,710.7677095505552,723.2725219726562
2021-08-03,728.7134421556742,737.5908667035993,721.1723708958142,735.8248901367188
2021-08-04,737.8772607501529,740.5500257214461,729.8111910727537,731.4339599609375
2021-08-05,731.1953411209057,731.5294149041218,722.3179158641171,724.8474731445312
2021-08-06,729.0952990123375,737.2090855279831,720.6951552132274,723.7974853515625
2021-08-09,727.3771043227414,746.4683669033907,726.8998227582251,739.7387084960938
2021-08-10,741.6478558414169,753.9139690934824,739.9296538126868,750.572998046875
2021-08-11,750.5729546020829,754.0571332252091,732.627179957143,743.3182983398438
2021-08-12,745.5137759616634,758.5435854916208,738.5931935343625,740.931884765625
2021-08-13,747.3751784575036,753.6275550068893,737.4954155784832,743.2705688476562
2021-08-16,744.9411511578044,767.4211030637749,744.7979433717752,762.9823608398438
2021-08-17,762.9345611899327,767.4210194329839,746.4683476390709,754.725341796875
2021-08-18,757.8276149600788,760.7867370566669,751.1456737312247,755.3934326171875
2021-08-20,752.9594147033997,755.3935391275985,740.9796586063335,749.9525756835938
2021-08-23,754.1048623636949,757.3981167694371,728.9521475377201,731.0999145507812
2021-08-24,732.1499325840581,744.4638204655295,726.9952682936955,742.7933349609375
2021-08-25,745.4660324779356,747.4228750962408,735.5385533609118,736.9703979492188
2021-08-26,735.968150334881,747.3274745332694,732.3885387087386,745.8956298828125
2021-08-27,744.4638012890847,749.3320499008745,730.2407874830178,739.9296264648438
2021-08-30,748.3297553517575,758.0663106430621,747.4229087526135,755.5844116210938
2021-08-31,752.1957707475487,759.6413517497741,745.8001859174906,757.2549438476562
2021-09-01,757.2549562635322,766.0369491396968,733.963649714127,734.918212890625
2021-09-02,737.7340377998277,738.975016387661,715.9222951781619,718.260986328125
2021-09-03,721.6497775338216,722.6043407316176,711.245015373079,715.8269653320312
2021-09-06,718.7859965498458,725.2770138171709,713.1063345927213,720.4564819335938
2021-09-07,720.7906571833532,724.2271196994443,714.1087147076324,718.8815307617188
2021-09-08,721.649685779128,723.3678876643161,714.967744244136,720.4564819335938
2021-09-09,715.9223832807817,722.1270439358818,713.5836918430152,716.6383056640625
2021-09-13,719.2632260373664,719.2632260373664,706.710699185968,711.6744384765625
