date,open,high,low,close
2021-07-02,1357.8025504266625,1366.9477617714929,1343.562171167975,1365.5107421875
2021-07-05,1366.6865788207563,1380.491472279574,1359.6317225292362,1375.2220458984375
2021-07-06,1370.6492393575872,1382.015471838264,1356.1911186127295,1360.633056640625
2021-07-07,1363.9866068041097,1367.9059832858584,1345.347772938037,1362.7236328125
2021-07-08,1365.684912101554,1372.6526922653372,1349.1364342125682,1359.370361328125
2021-07-09,1355.2330669718385,1367.3396047081196,1350.8782049314407,1361.2427978515625
2021-07-12,1367.9057813469253,1374.3944833697385,1335.8539536554729,1348.1346435546875
2021-07-13,1355.581708354052,1355.581708354052,1338.0751812303984,1345.6090087890625
2021-07-14,1353.4912324038655,1378.5752823277203,1339.6427487234016,1373.4365234375
2021-07-15,1356.8880824588236,1390.812418891996,1355.2332134406452,1376.8333740234375
2021-07-16,1370.6928663714386,1371.4767628250784,1349.6588608514694,1354.7540283203125
2021-07-19,1345.3911156206077,1352.533153580218,1339.1637475912771,1342.7781982421875
2021-07-20,1339.8170980665798,1356.7138802520703,1339.5557637771587,1350.051025390625
2021-07-22,1359.936562140339,1387.3286063361954,1359.936562140339,1385.0205078125
2021-07-23,1383.5835184231282,1392.2496529655537,1380.5351144285212,1385.23828125
2021-07-26,1388.4173074229864,1403.7029180573702,1388.4173074229864,1396.952880859375
2021-07-27,1397.9110620813844,1401.6562868940487,1391.727177712481,1395.7772216796875
2021-07-28,1397.9978633827702,1400.1752945157943,1380.9268245638377,1398.433349609375
2021-07-29,1393.6428505544982,1410.9752217648422,1393.6428505544982,1408.3623046875
2021-07-30,1402.2658076696387,1413.9368611216748,1398.9125846109287,1402.7012939453125
2021-08-02,1417.4639623530684,1423.8221032776687,1410.2784401924682,1421.0350341796875
2021-08-03,1434.4918563493748,1444.6387082912352,1424.5627475551084,1441.6337890625
2021-08-04,1453.7401991220645,1463.146744783546,1427.5675389174712,1436.451416015625
2021-08-05,1436.6692958051754,1451.0403436262031,1434.5354554748603,1440.19677734375
2021-08-06,1443.2015868253418,1446.3806580542653,1431.8789431145817,1437.2789306640625
2021-08-09,1446.6853193592076,1452.3030494440573,1433.9691421507919,1448.6885986328125
2021-08-10,1452.7822488331904,1463.2339196881055,1446.7290319910098,1460.8387451171875
2021-08-11,1458.7048011852285,1466.7177057432823,1452.7821455937024,1461.0999755859375
2021-08-12,1462.4933514969034,1477.6047016288974,1458.0078222969491,1471.594970703125
2021-08-13,1478.0403134331104,1500.2501118966013,1473.0758127751071,1491.279052734375
2021-08-16,1487.3597412491697,1498.0291547007535,1472.030646043933,1484.485595703125
2021-08-17,1484.0501084300226,1523.2438721030503,1468.9387563667328,1516.9293212890625
2021-08-18,1505.9113246071138,1528.9920938969278,1504.1693797550522,1509.787109375
