date,open,high,low,close
2021-07-02,611.5043209840059,620.3057039680308,611.5043209840059,619.2418212890625
2021-07-05,621.6597745189683,627.2211027235332,620.1606456790087,626.5924072265625
2021-07-06,624.0294033649028,633.5078293099217,624.0294033649028,628.9620361328125
2021-07-07,629.5423916613154,633.2660400670603,624.7064539746634,632.5406494140625
2021-07-08,629.1554967770891,632.5406531778881,617.1623476298522,620.8377075195312
2021-07-09,618.5164351893227,620.1123182519674,613.0034543748918,617.5975952148438
2021-07-12,624.803186011545,628.9137332879367,621.321334284521,625.0449829101562
2021-07-13,633.6528617132667,644.4853135893917,631.5733851476625,643.1312866210938
2021-07-14,640.2780974412732,646.0812221914962,636.6027969059528,642.5509643554688
2021-07-15,643.2763903345876,647.6287341366685,639.4076402882935,645.54931640625
2021-07-16,645.5493872475801,645.8395317264038,636.1193079748996,638.6339721679688
2021-07-19,624.4647443262029,635.3456056411936,624.3679901394881,634.37841796875
2021-07-20,627.366223435358,629.8808874344031,618.1295351729377,620.8377075195312
2021-07-22,631.0898878626158,638.6339390834501,627.0276882721836,634.4266967773438
2021-07-23,634.4267147427613,655.608087653661,629.3973274423037,654.447509765625
2021-07-26,657.6875490626154,665.1832527467849,641.8256492663627,654.544189453125
2021-07-27,657.8326094935254,663.1037342047175,651.2073396209524,655.22119140625
2021-07-28,655.6564826169622,664.4578659621436,648.0640247116105,662.5718383789062
2021-07-29,671.738525390625,671.738525390625,662.6203181147575,666.888427734375
2021-07-30,666.4034794063358,667.0340158418967,657.6733028202266,662.0383911132812
2021-08-02,663.5418296380883,667.4219076527314,657.3822294719592,660.9713134765625
2021-08-03,662.5233091697539,671.1565062802903,656.3637091136156,669.7014770507812
2021-08-04,673.1935601400174,695.8920410372308,672.417556349791,693.2244873046875
2021-08-05,694.048940167475,695.0189596505882,678.0921078292052,681.3901977539062
2021-08-06,683.9122396680449,684.8337700381915,674.842580984925,676.734130859375
2021-08-09,676.4916392046472,685.1247774384981,673.5330322944652,681.7781982421875
2021-08-10,682.9907339113992,687.0648278173533,676.3946128854847,679.88671875
2021-08-11,685.0763408087723,685.9493821287363,669.3135223476855,672.757080078125
2021-08-12,672.7086117923737,681.8753091149592,672.5145960257789,680.3232421875
2021-08-13,685.8523438969164,688.6169352702516,679.9837371788716,683.6697998046875
2021-08-16,681.3417846529414,686.1918826097383,677.7042111853438,681.5842895507812
2021-08-17,678.8196223814891,681.8267183020483,670.7684725134202,680.1776733398438
2021-08-18,679.8381619358785,679.8381619358785,663.1053250921738,667.6644287109375
2021-08-20,663.3478233200453,663.8813814188723,655.1026574217951,660.2922973632812
2021-08-23,669.2649409175282,669.2649409175282,653.647592026529,662.2322998046875
2021-08-24,662.7658354785066,676.346108726511,660.001303535137,673.6300659179688
2021-08-25,678.9651675317158,679.4501772864774,666.5489296508792,670.3319702148438
